Company,Project Name,Owner Business,Project Status,Project Progress,Project Reason,Closing Date,Revenue Amount,Revenue Currency,Pain Value,Economic Buyer Value,Champion Value,Decision Criteria Value,Decision Process Value,Drive Value
Moncler S.p.A,Hyperganic Emboss & Lattice,Joris Debo,Active,3) Project Evaluation,,"Friday, 10 December 2021"," 10,000.00 € ",Euros,,,,,,
Puma,Workflow | Midsole (Hyperganic Emboss),Joris Debo,Active,8) Forecast (Renewal),,"Wednesday, 15 December 2021"," 12,529.56 € ",Euros,3,2,3,3,3,2
Yalkut Defne,Hyperganic Emboss,Joris Debo,Active,3) Project Evaluation,,"Friday, 17 December 2021"," 1,500.00 € ",Euros,,,,,,
LaCoste,Hyperganic Emboss,Joris Debo,Active,3) Project Evaluation,,"Wednesday, 22 December 2021"," 5,000.00 € ",Euros,,,,,,
KISKA GmbH,Hyperganic Emboss,Joris Debo,Active,3) Project Evaluation,,"Wednesday, 22 December 2021"," 5,000.00 € ",Euros,,,,,,
Hummel A/S,Hyperganic Emboss & Lattice,Joris Debo,Active,3) Project Evaluation,,"Tuesday, 1 February 2022"," 5,000.00 € ",Euros,,,,,,
