OPID,CPY ID,Company,Opportunity,Creation Date,Project,Owner,Lead,Active / Paused / Closed,Progress,Reason,Closing,Value,Revenue Type,TCV,Notes,Pain,Economic Buyer,Champion,Decision Criteria,Decision Process,Drive
OPID360,CPY8256091,Moncler S.p.A,Hyperganic Emboss & Lattice,,Footwear,Joris Debo,Outreach | Cold,Active,3) Project Evaluation,,"Friday, 10 December 2021","10,000.00€",ARR,,,,,,,,
OPID180,CPY8251031,Puma,Workflow | Midsole (Hyperganic Emboss),,Footwear,Joris Debo,,Active,8) Forecast (Renewal),,"Wednesday, 15 December 2021","12,529.56€",ARR,"12,529.56€",,3,2,3,3,3,2
OPID364,CPY8256077,Yalkut Defne,Hyperganic Emboss,,Footwear,Joris Debo,Outreach | Cold,Active,3) Project Evaluation,,"Friday, 17 December 2021","1,500.00€",ARR,,,,,,,,
OPID370,CPY8255668,LaCoste,Hyperganic Emboss,,Footwear,Joris Debo,Outreach | Cold,Active,3) Project Evaluation,,"Wednesday, 22 December 2021","5,000.00€",ARR,,,,,,,,
OPID384,CPY8256094,KISKA GmbH,Hyperganic Emboss,,Footwear,Joris Debo,Outreach | Cold,Active,3) Project Evaluation,,"Wednesday, 22 December 2021","5,000.00€",ARR,,,,,,,,
OPID386,CPY8256099,Hummel A/S,Hyperganic Emboss & Lattice,,Footwear,Joris Debo,Outreach | Cold,Active,3) Project Evaluation,,"Tuesday, 1 February 2022","5,000.00€",ARR,,,,,,,,
